num_vehicles,runs,packet_loss_ratio_mean,packet_loss_ratio_stddev,packet_loss_ratio_min,packet_loss_ratio_max,end_to_end_delay_ms_mean,end_to_end_delay_ms_stddev,end_to_end_delay_ms_min,end_to_end_delay_ms_max,wall_clock_elapsed_s_sum,wall_clock_elapsed_s_mean,wall_clock_elapsed_s_stddev,wall_clock_elapsed_s_min,wall_clock_elapsed_s_max
10,5,0.4115,0.01645068387636209,0.39,0.4325,40.3498906,7.785920392201349,34.249507,49.162358,,,,,
20,5,0.40925,0.011645814698852106,0.3925,0.425,20.177911599999998,7.9098255863495055,16.547082,34.326608,,,,,
30,5,0.4118334,0.005250711599392974,0.405833,0.42,41.846946,2.4605145322012443,39.070696,43.652066,,,,,
40,5,0.408875,0.01500911181582708,0.391875,0.433125,27.927181,8.324006386624173,19.712439,42.002177,,,,,
50,5,0.4092,0.0093914855054991,0.401,0.423,27.8341584,3.0617367720149136,25.168627,32.673203,,,,,
60,5,0.4185834,0.013370981744060545,0.4075,0.435,23.5728768,4.550372088572175,18.834902,30.718746,,,,,
70,5,0.4114286,0.0027432756514794363,0.408214,0.414643,26.0223468,4.230875094263798,21.128428,31.738693,,,,,
80,5,0.4150626,0.011681190812584142,0.405,0.434688,25.142000200000002,2.494286558253622,21.232543,27.394204,,,,,
90,5,0.412722,0.011741438306272365,0.401944,0.430833,22.6994126,2.6716156323651425,20.100182,27.053659,,,,,
100,5,0.4144,0.001606626901305952,0.41225,0.416,25.791848,5.287472507994392,20.5638,32.415197,,,,,
110,5,0.4188184,0.009539104166534716,0.410455,0.430682,27.993963,0.8316738418995752,27.376373,29.412748,,,,,
120,5,0.41579140000000003,0.004353686977723598,0.408333,0.419375,27.1589746,0.6486964330218724,26.211364,27.954042,,,,,
130,5,0.4161922,0.0034143649043416645,0.4125,0.420962,27.077514,3.642709605546054,22.155035,32.196878,,,,,
140,5,0.4164284,0.007305849286701709,0.405179,0.423214,27.3772546,3.7111237801444052,24.611021,33.424439,,,,,
150,5,0.4130666,0.004604494793134205,0.407667,0.419333,25.1221532,3.3363315033305216,22.143157,30.076475,,,,,
160,5,0.4202498,0.006954015257389061,0.410781,0.430312,30.1056754,1.856555932050607,27.895077,32.884082,,,,,
170,5,0.41523540000000003,0.004610441931095106,0.408235,0.419559,27.76484,2.6036564200303003,25.090224,31.701577,,,,,
180,5,0.41613880000000003,0.006455707838804361,0.409167,0.425694,28.830508599999998,1.1449350982587623,27.430718,30.440241,,,,,
190,5,0.419921,0.00698870900095289,0.410789,0.429211,28.7647694,2.8153596214846695,25.455021,31.78361,,,,,
200,5,0.42575,0.009793572509559511,0.41175,0.43925,28.4503924,3.2863026441675753,24.453453,31.746425,,,,,
210,5,0.423143,0.0035671458478733534,0.419643,0.429167,30.7680552,2.318523605433897,28.394267,33.90768,,,,,
220,5,0.4247274,0.0038964255799386126,0.420455,0.430568,30.141617200000002,2.3383981712006836,27.244177,33.247725,,,,,
230,5,0.42621760000000003,0.004073132615076514,0.421848,0.432935,31.5317886,4.17530561487525,25.829898,36.228652,,,,,
240,5,0.4286666,0.005204533965687981,0.420312,0.433021,31.5374194,3.502442246666502,27.133954,35.528698,,,,,
250,5,0.42444,0.006666558332453123,0.414,0.43,31.3022824,2.9819009127308873,28.961982,35.255255,,,,,
260,5,0.43128859999999997,0.004824683595843365,0.427212,0.436731,32.9876468,2.506712321534864,29.851363,35.572135,,,,,
270,5,0.4317594,0.00507727208252619,0.42287,0.435741,30.630892799999998,1.5778031408547761,28.650531,33.025763,,,,,
280,5,0.4304464,0.004674236012440965,0.422946,0.434911,31.654764200000002,3.3542670577445386,27.698542,35.337176,,,,,
290,5,0.431862,0.00798760643121581,0.422241,0.4425,33.9217608,2.8946528008640677,31.059797,38.546488,,,,,
300,5,0.4316834,0.004721129822404801,0.424667,0.436917,31.6992624,3.3049104735675225,27.099558,36.373083,,,,,
310,5,0.4380808,0.004305622161778725,0.432339,0.443145,35.1100404,4.10453539153554,29.895027,39.009033,,,,,
320,5,0.438156,0.005076233790912306,0.429844,0.442812,37.0550332,3.8581019955075955,33.720441,43.520686,,,,,
330,5,0.4412726,0.007935968989354732,0.429242,0.45,35.983794,3.93304185415767,31.970944,42.120122,,,,,
340,5,0.4454998,0.008273611829183191,0.433235,0.452941,38.8095434,2.0686126381380117,36.078049,41.903643,,,,,
350,5,0.4421856,0.010430498947797278,0.431214,0.459071,38.737962599999996,3.148348362317582,35.825802,43.488613,,,,,
360,5,0.4494722,0.006957300712201535,0.442986,0.460972,38.9388886,2.6219923639482237,36.494871,42.899667,,,,,
370,5,0.4538918,0.007424612797984821,0.445135,0.461959,42.0416722,3.6141601529689003,36.940693,47.157726,,,,,
380,5,0.4537498,0.006132200110890049,0.447368,0.462566,42.729371,2.870758914543243,40.535823,47.6113,,,,,
390,5,0.4509358,0.00635034602994199,0.443205,0.459359,38.9671342,2.6015728228766153,35.797988,41.461988,,,,,
400,5,0.45365,0.0022987768486740978,0.45175,0.457625,37.88415,2.002333673071873,35.011075,39.535954,,,,,
410,5,0.453805,0.009110400732130269,0.441159,0.466037,38.284347,3.8184211386546933,32.169194,41.026536,,,,,
420,5,0.4624046,0.004140027572371947,0.456369,0.467202,42.5321548,1.5257060008350882,41.133597,45.074033,,,,,
430,5,0.4662904,0.00507606139639781,0.460872,0.473023,45.0984686,5.2797099371041485,38.431117,50.637521,,,,,
440,5,0.4660798,0.007209539423569302,0.458182,0.474205,41.7844916,3.294810029769288,38.295796,47.249631,,,,,
450,5,0.46967760000000003,0.010741030085610961,0.454056,0.481944,45.455891,3.968579003662898,40.541668,51.104892,,,,,
460,5,0.466424,0.0085653180909993,0.456141,0.475489,43.9714472,1.5048254934728138,42.521799,46.334221,,,,,
470,5,0.4721384,0.004506873395159871,0.468351,0.478191,44.253123800000004,2.1906443155851894,40.835563,46.569544,,,,,
480,5,0.4781148,0.004892031244789848,0.472813,0.484063,43.8787958,3.9390423870436715,39.612603,48.12684,,,,,
490,5,0.48499,0.004354057303251763,0.479949,0.489643,45.2486402,2.0229737967889516,43.998219,48.825017,,,,,
500,5,0.48641,0.004203332011630766,0.4801,0.4908,44.7182122,2.7313977438607697,40.501641,47.270622,,,,,
510,5,0.4893334,0.006378540452172419,0.478873,0.495588,45.924951,2.1778783282186613,42.684048,48.373707,,,,,
520,5,0.4943556,0.006876210169853744,0.484471,0.50024,46.252962000000004,3.2005995217440106,42.873935,50.563559,,,,,
530,5,0.4967452,0.007486660149893274,0.488443,0.508726,46.3228992,3.28841259891094,42.819625,51.308432,,,,,
540,5,0.50025,0.0024979398511573454,0.496528,0.502963,46.158669599999996,2.7152998266934167,41.880457,49.234074,,,,,
550,5,0.5011,0.008718121271237287,0.487091,0.51,45.8758978,5.542946705680222,37.85041,52.355994,,,,,
560,5,0.5104642,0.009987324751904288,0.497054,0.524107,46.8711902,1.637255416457431,45.296404,49.42361,,,,,
570,5,0.5155966,0.0073270901318327085,0.506667,0.526228,47.4545552,2.868087261210021,44.902579,52.157214,,,,,
580,5,0.522,0.005626759147146802,0.512802,0.527371,47.5659208,2.2301463187738815,43.936376,49.479733,,,,,
590,5,0.5203898,0.005501705844554019,0.511356,0.524788,46.454172,2.220484373739433,42.799039,48.120949,,,,,
600,5,0.5274584,0.00747486854733916,0.518917,0.535833,49.4709024,3.819099855909084,46.266105,54.864267,,,,,
610,5,0.5413442,0.011353442394269681,0.531352,0.55959,51.6506034,5.197288141448267,45.292067,59.104257,,,,,
620,5,0.537137,0.0065488578011741955,0.531935,0.547984,50.4118018,3.9925343488824496,47.431766,56.498265,,,,,
630,5,0.5436826,0.01566998632098956,0.524841,0.567183,51.113476,5.479543492922243,45.915664,57.358373,,,,,
640,5,0.550125,0.01205529421042886,0.535039,0.563828,52.5789116,5.559638945530437,46.800466,59.725564,,,,,
650,5,0.5521694,0.006864586425998303,0.544846,0.563077,49.7188494,2.038480956198952,48.736862,53.364028,,,,,
660,5,0.5544318,0.014937514810034492,0.538068,0.578939,52.1520216,5.788199005833705,44.580556,58.667747,,,,,
670,5,0.5629702,0.007846090058111764,0.550821,0.571119,54.1378328,3.0016319846049933,50.101516,57.290513,,,,,
680,5,0.5630808,0.013211347648896383,0.548676,0.580184,51.8996738,3.745247918990035,47.790182,56.94591,,,,,
690,5,0.5691664,0.008363279637797575,0.564275,0.583768,54.925385600000006,3.647971110573493,50.001606,59.622145,,,,,
700,5,0.576557,0.014514311816272944,0.558643,0.597107,57.9348016,8.320996351875374,43.441979,64.078518,,,,,
710,5,0.5829082,0.006819311710136144,0.574577,0.592148,63.0463066,5.198065693160946,56.466923,68.06071,,,,,
720,5,0.5968056,0.012364921544433667,0.58191,0.608333,63.688637799999995,6.966031349807843,53.169644,69.836991,,,,,
730,5,0.5856782,0.00853619863873845,0.575856,0.594658,61.0134194,3.048413652006288,57.686108,64.712416,,,,,
740,5,0.5920406,0.008644155210314064,0.583649,0.604223,63.8481844,8.05979000961643,51.540991,73.666939,,,,,
750,5,0.6027402,0.0068508062810153595,0.593967,0.6113,67.398192,3.237661745263623,62.006619,70.325414,,,,,
760,5,0.5911512,0.011769121959602624,0.576842,0.609539,61.366184,2.990141316134237,58.623409,65.435909,,,,,
770,1,0.60013,0.0,0.60013,0.60013,62.261672,0.0,62.261672,62.261672,,,,,
780,1,0.606731,0.0,0.606731,0.606731,65.064642,0.0,65.064642,65.064642,,,,,
790,1,0.598418,0.0,0.598418,0.598418,61.178123,0.0,61.178123,61.178123,,,,,
800,1,0.606688,0.0,0.606688,0.606688,72.59885,0.0,72.59885,72.59885,,,,,
810,1,0.600802,0.0,0.600802,0.600802,63.151483,0.0,63.151483,63.151483,,,,,
820,1,0.61622,0.0,0.61622,0.61622,72.90967,0.0,72.90967,72.90967,,,,,
830,1,0.611325,0.0,0.611325,0.611325,67.591256,0.0,67.591256,67.591256,,,,,
840,1,0.634315,0.0,0.634315,0.634315,82.503123,0.0,82.503123,82.503123,,,,,
850,1,0.6235,0.0,0.6235,0.6235,80.095683,0.0,80.095683,80.095683,,,,,
860,1,0.626802,0.0,0.626802,0.626802,82.895107,0.0,82.895107,82.895107,,,,,
870,1,0.618075,0.0,0.618075,0.618075,66.126793,0.0,66.126793,66.126793,,,,,
880,1,0.64608,0.0,0.64608,0.64608,88.506068,0.0,88.506068,88.506068,,,,,
890,2,0.64236,0.0,0.64236,0.64236,86.578599,0.0,86.578599,86.578599,,,,,
900,2,0.636444,0.0,0.636444,0.636444,80.534672,0.0,80.534672,80.534672,,,,,
910,2,0.638352,0.0,0.638352,0.638352,83.249626,0.0,83.249626,83.249626,,,,,
920,2,0.632255,0.0,0.632255,0.632255,71.802392,0.0,71.802392,71.802392,,,,,
930,2,0.660161,0.0,0.660161,0.660161,94.462109,0.0,94.462109,94.462109,,,,,
940,2,0.646037,0.0,0.646037,0.646037,91.859381,0.0,91.859381,91.859381,,,,,
950,2,0.661132,0.0,0.661132,0.661132,94.059024,0.0,94.059024,94.059024,,,,,
